Method,Name,Error,Occurrences
GET,/criminal/all,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",9
GET,/criminal/all,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",20
