Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/criminal,12000,25,8,9.850808863500577,1.0953119999612682,64.67274499993891,51.891666666666666,20.095027876298936,0.04186464140895611,8,10,11,12,17,22,30,36,55,64,65
,Aggregated,12000,25,8,9.850808863500577,1.0953119999612682,64.67274499993891,51.891666666666666,20.095027876298936,0.04186464140895611,8,10,11,12,17,22,30,36,55,64,65
