Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1611369190,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1611369191,1,,Aggregated,0.000000,0.000000,18,18,18,18,18,18,18,18,18,18,18,1,0,17.677540000022418,17.677540000022418,17.677540000022418,17.677540000022418,52.0
1611369192,1,,Aggregated,0.000000,0.000000,18,18,18,18,18,18,18,18,18,18,18,2,0,6,11.612524000042868,5.547508000063317,17.677540000022418,52.0
1611369193,1,,Aggregated,0.000000,0.000000,7,7,18,18,18,18,18,18,18,18,18,3,0,7,9.926263333378907,5.547508000063317,17.677540000022418,52.0
1611369194,1,,Aggregated,1.000000,0.000000,7,7,18,18,18,18,18,18,18,18,18,4,0,6,8.802667750046567,5.431881000049543,17.677540000022418,52.0
1611369195,1,,Aggregated,1.000000,0.000000,6,7,7,18,18,18,18,18,18,18,18,5,0,6,8.141152200050783,5.431881000049543,17.677540000022418,52.0
1611369196,1,,Aggregated,1.000000,0.000000,6,6,7,7,18,18,18,18,18,18,18,6,0,5.399911000040447,7.684278666715727,5.399911000040447,17.677540000022418,52.0
1611369197,1,,Aggregated,1.000000,0.000000,5,6,7,7,18,18,18,18,18,18,18,7,0,5.399911000040447,7.371093571496853,5.399911000040447,17.677540000022418,52.0
1611369198,1,,Aggregated,1.000000,0.000000,6,6,7,7,18,18,18,18,18,18,18,8,0,5.399911000040447,7.158089500052256,5.399911000040447,17.677540000022418,52.0
1611369199,1,,Aggregated,1.000000,0.000000,5,6,6,7,18,18,18,18,18,18,18,9,0,5.399911000040447,6.967422888894564,5.399911000040447,17.677540000022418,52.0
1611369200,1,,Aggregated,1.000000,0.000000,5,6,6,7,18,18,18,18,18,18,18,10,0,5.151555999873381,6.7858361999924455,5.151555999873381,17.677540000022418,52.0
1611369201,1,,Aggregated,1.000000,0.000000,5,6,6,6,7,18,18,18,18,18,18,11,0,5.151555999873381,6.651685909115589,5.151555999873381,17.677540000022418,52.0
1611369202,1,,Aggregated,1.000000,0.000000,5,6,6,6,7,18,18,18,18,18,18,12,0,5.151555999873381,6.557761666670103,5.151555999873381,17.677540000022418,52.0
1611369203,1,,Aggregated,1.000000,0.000000,5,6,6,6,7,18,18,18,18,18,18,13,0,5.151555999873381,6.475641538477598,5.151555999873381,17.677540000022418,52.0
1611369204,1,,Aggregated,1.000000,0.000000,5,6,6,6,7,18,18,18,18,18,18,14,0,5.151555999873381,6.405827571451742,5.151555999873381,17.677540000022418,52.0
1611369205,1,,Aggregated,1.000000,0.000000,5,5,6,6,7,18,18,18,18,18,18,15,0,5.151555999873381,6.342564933356698,5.151555999873381,17.677540000022418,52.0
1611369206,1,,Aggregated,1.000000,0.000000,5,6,6,6,7,18,18,18,18,18,18,16,0,5.151555999873381,6.294694125031697,5.151555999873381,17.677540000022418,52.0
1611369207,1,,Aggregated,1.000000,0.000000,5,6,6,6,7,18,18,18,18,18,18,17,0,5.151555999873381,6.249537352968058,5.151555999873381,17.677540000022418,52.0
1611369208,1,,Aggregated,1.000000,0.000000,5,6,6,6,7,18,18,18,18,18,18,18,0,5.151555999873381,6.205078833356008,5.151555999873381,17.677540000022418,52.0
1611369209,1,,Aggregated,1.000000,0.000000,5,6,6,6,7,18,18,18,18,18,18,19,0,5,6.131815315795489,4.813071999706153,17.677540000022418,52.0
1611369210,1,,Aggregated,1.000000,0.000000,5,6,6,6,7,18,18,18,18,18,18,20,0,5,6.097774900001696,4.813071999706153,17.677540000022418,52.0
1611369211,1,,Aggregated,1.000000,0.000000,5,6,6,6,6,7,18,18,18,18,18,21,0,5,6.07309790476999,4.813071999706153,17.677540000022418,52.0
1611369212,1,,Aggregated,1.000000,0.000000,5,6,6,6,6,7,18,18,18,18,18,22,0,5,6.044499045453284,4.813071999706153,17.677540000022418,52.0
1611369213,1,,Aggregated,1.000000,0.000000,5,6,6,6,6,7,18,18,18,18,18,23,0,5,6.015433260858038,4.813071999706153,17.677540000022418,52.0
1611369214,1,,Aggregated,1.000000,0.000000,5,5,6,6,6,7,18,18,18,18,18,24,0,5,5.987277624996068,4.813071999706153,17.677540000022418,52.0
1611369215,1,,Aggregated,1.000000,0.000000,5,5,6,6,6,7,18,18,18,18,18,25,0,5,5.965484919988739,4.813071999706153,17.677540000022418,52.0
1611369216,1,,Aggregated,1.000000,0.000000,5,5,6,6,6,7,18,18,18,18,18,26,0,5,5.932964615366332,4.813071999706153,17.677540000022418,52.0
1611369217,1,,Aggregated,1.000000,0.000000,5,5,6,6,6,7,18,18,18,18,18,27,0,5,5.9143673703500905,4.813071999706153,17.677540000022418,52.0
1611369218,1,,Aggregated,1.000000,0.000000,5,5,6,6,6,7,18,18,18,18,18,28,0,5,5.901898928552133,4.813071999706153,17.677540000022418,52.0
1611369219,1,,Aggregated,1.000000,0.000000,5,6,6,6,6,7,18,18,18,18,18,29,0,5,5.892136931010852,4.813071999706153,17.677540000022418,52.0
1611369220,1,,Aggregated,1.000000,0.000000,5,5,6,6,6,7,18,18,18,18,18,30,0,5,5.844475566656608,4.462296000383503,17.677540000022418,52.0
1611369221,1,,Aggregated,1.000000,0.000000,5,6,6,6,6,7,18,18,18,18,18,31,0,5,5.8335828387043875,4.462296000383503,17.677540000022418,52.0
