user,paradigm,method,throughput
single,fp,DELETE,0.2011031998085851
single,fp,GET,0.20143411567775493
single,fp,POST,0.20102424983963749
single,fp,PUT,0.20106700420294338
single,oop,DELETE,0.20105995015445621
single,oop,GET,0.20144190088944658
single,oop,POST,0.2009427400056249
single,oop,PUT,0.20109766418874697
hundred,fp,DELETE,19.881407391788027
hundred,fp,GET,20.103469525146632
hundred,fp,POST,20.057332875496495
hundred,fp,PUT,19.907903168554608
hundred,oop,DELETE,19.873767683279613
hundred,oop,GET,20.103238592797169
hundred,oop,POST,20.095027876298936
hundred,oop,PUT,19.900196841281826
