Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/criminal/1056,1,0,4.195938001430477,4.195938001430477,4.195938001430477,4.195938001430477,54.0,0.001112992539252434,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/1057,1,0,4.387266999401618,4.387266999401618,4.387266999401618,4.387266999401618,54.0,0.001112992539252434,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/1058,1,0,4.294663000109722,4.294663000109722,4.294663000109722,4.294663000109722,54.0,0.001112992539252434,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/1059,1,0,4.242656999849714,4.242656999849714,4.242656999849714,4.242656999849714,54.0,0.001112992539252434,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/10599,23,0,24,21.777356217448276,14.55859199995757,26.264628999342676,54.0,0.025598828402805987,0.0,24,25,25,25,26,26,26,26,26,26,26
DELETE,/criminal/1060,1,0,4.179437999482616,4.179437999482616,4.179437999482616,4.179437999482616,54.0,0.001112992539252434,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/10606,6,0,15,14.8775241665741,13.51206500112312,16.32036799855996,54.0,0.006677955235514605,0.0,15,15,16,16,16,16,16,16,16,16,16
DELETE,/criminal/10607,4,0,13,13.233954499810352,12.390136000249186,14.113749999523861,54.0,0.004451970157009736,0.0,13,13,14,14,14,14,14,14,14,14,14
DELETE,/criminal/1061,1,0,4.338955999628524,4.338955999628524,4.338955999628524,4.338955999628524,54.0,0.001112992539252434,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/1062,1,0,4.38771700100915,4.38771700100915,4.38771700100915,4.38771700100915,54.0,0.001112992539252434,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/1063,1,0,4.225783999572741,4.225783999572741,4.225783999572741,4.225783999572741,54.0,0.001112992539252434,0.0,4,4,4,4,4,4,4,4,4,4,4
