Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/criminal/101,1,0,11.973720000241883,11.973720000241883,11.973720000241883,11.973720000241883,54.0,0.0016702854231528208,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/10109,2,0,324.60173499930534,324.76714049971633,324.60173499930534,324.93254600012733,54.0,0.0033405708463056416,0.0,320,320,320,320,320,320,320,320,320,320,320
DELETE,/criminal/10111,1,0,5.394776000684942,5.394776000684942,5.394776000684942,5.394776000684942,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10112,1,0,4.195788000288303,4.195788000288303,4.195788000288303,4.195788000288303,54.0,0.0016702854231528208,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/10113,3,0,9,8.92160599990651,7.032206000076258,10.467177999998967,54.0,0.005010856269458463,0.0,9,9,10,10,10,10,10,10,10,10,10
DELETE,/criminal/10116,1,0,4.656802000681637,4.656802000681637,4.656802000681637,4.656802000681637,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10117,7,0,13,13.784430714362575,10.526619000302162,17.733663000399247,54.0,0.011691997962069746,0.0,13,14,16,16,18,18,18,18,18,18,18
DELETE,/criminal/10124,2,0,6.923872999323066,6.779111999549059,6.634350999775052,6.923872999323066,54.0,0.0033405708463056416,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/10126,1,0,5.249693999758165,5.249693999758165,5.249693999758165,5.249693999758165,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10127,1,0,3.916704000403115,3.916704000403115,3.916704000403115,3.916704000403115,54.0,0.0016702854231528208,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/10128,2,0,4,3.7868310000703786,3.545458000189683,4.028203999951074,54.0,0.0033405708463056416,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/1013,5,0,11,11.749776599936013,9.458808000090357,15.124878999813518,54.0,0.008351427115764105,0.0,11,13,13,15,15,15,15,15,15,15,15
DELETE,/criminal/10130,1,0,5.335355000170239,5.335355000170239,5.335355000170239,5.335355000170239,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10131,6,0,17,23.265711666681455,10.918173000391107,34.05153199946653,54.0,0.010021712538916925,0.0,30,30,32,32,34,34,34,34,34,34,34
DELETE,/criminal/10132,2,0,33,33.6605234997478,32.97457200005738,34.346474999438215,54.0,0.0033405708463056416,0.0,34,34,34,34,34,34,34,34,34,34,34
DELETE,/criminal/10134,9,0,33,32.72226588908072,29.255378000016208,35.840757000187295,54.0,0.015032568808375389,0.0,33,34,34,35,36,36,36,36,36,36,36
DELETE,/criminal/10137,1,0,20.61655899979087,20.61655899979087,20.61655899979087,20.61655899979087,54.0,0.0016702854231528208,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/criminal/10149,11,0,16,15.904822818315138,11.158894999425684,19.78836600028444,54.0,0.01837313965468103,0.0,16,16,17,17,19,20,20,20,20,20,20
DELETE,/criminal/10160,1,0,5.260755000563222,5.260755000563222,5.260755000563222,5.260755000563222,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10161,1,0,5.0756170003296575,5.0756170003296575,5.0756170003296575,5.0756170003296575,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10162,6,0,13,12.849372666854228,10.52152899956127,14.753706000192324,54.0,0.010021712538916925,0.0,13,13,13,13,15,15,15,15,15,15,15
DELETE,/criminal/10166,1,0,10.75143000070966,10.75143000070966,10.75143000070966,10.75143000070966,54.0,0.0016702854231528208,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,/criminal/10168,2,0,7,7.5076980001540505,6.8449350001174025,8.170461000190699,54.0,0.0033405708463056416,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/criminal/10171,1,0,5.19550200078811,5.19550200078811,5.19550200078811,5.19550200078811,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10172,4,0,8,8.481844500238367,7.780720000482688,9.832226999606064,54.0,0.006681141692611283,0.0,8,8,10,10,10,10,10,10,10,10,10
DELETE,/criminal/10176,3,0,8,8.039982666862974,6.8781370000579045,9.659543000452686,54.0,0.005010856269458463,0.0,8,8,10,10,10,10,10,10,10,10,10
DELETE,/criminal/10179,1,0,4.952786999638192,4.952786999638192,4.952786999638192,4.952786999638192,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/1018,1,0,5.08324500060553,5.08324500060553,5.08324500060553,5.08324500060553,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10180,4,0,11,12.489640000012514,8.569538999836368,16.384733999984746,54.0,0.006681141692611283,0.0,14,14,16,16,16,16,16,16,16,16,16
DELETE,/criminal/10181,3,0,12,10.971105666612857,8.837612000206718,12.441047999345756,54.0,0.005010856269458463,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/10187,3,0,8,8.441094666522986,6.993874999352556,10.65986800040264,54.0,0.005010856269458463,0.0,8,8,11,11,11,11,11,11,11,11,11
DELETE,/criminal/1019,1,0,4.659137000089686,4.659137000089686,4.659137000089686,4.659137000089686,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10190,1,0,5.384136000429862,5.384136000429862,5.384136000429862,5.384136000429862,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10191,18,0,96,96.63086738884077,90.43757299969002,101.42519700002595,54.0,0.030065137616750778,0.0,96,98,100,100,100,100,100,100,100,100,100
DELETE,/criminal/102,1,0,5.507092999323504,5.507092999323504,5.507092999323504,5.507092999323504,54.0,0.0016702854231528208,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/1020,1,0,5.637969000417797,5.637969000417797,5.637969000417797,5.637969000417797,54.0,0.0016702854231528208,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/10209,2,0,6.409157999769377,6.573230499725469,6.409157999769377,6.73730299968156,54.0,0.0033405708463056416,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/1021,9,0,19,19.04242977778065,13.32484199974715,25.287802000093507,54.0,0.015032568808375389,0.0,19,19,24,24,25,25,25,25,25,25,25
DELETE,/criminal/10211,1,0,5.363146000490815,5.363146000490815,5.363146000490815,5.363146000490815,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10212,1,0,5.274120000649418,5.274120000649418,5.274120000649418,5.274120000649418,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10213,3,0,8,7.611736333274166,6.788599000174145,8.124223999402602,54.0,0.005010856269458463,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/criminal/10216,1,0,5.688266000106523,5.688266000106523,5.688266000106523,5.688266000106523,54.0,0.0016702854231528208,0.0,6,6,6,6,6,6,6,6,6,6,6
